latitude,longitude,#beds,#baths,#square_feet,elevator,doorman,unit#,stories#,complex,#beds_mv,#baths_mv,#square_feet_mv,stories#_mv,BUILD_YEAR(1800-1900),BUILD_YEAR(1900-2000),BUILD_YEAR(2000-2019),price
40.7578,-73.9668,2,1,500,1,0,406,30,0,1,0,0,0,0,1,0,458000
40.774,-73.9559,1,1,1292.89797687861,1,0,80,17,0,0,0,1,0,0,1,0,599000
40.7911,-73.9785,2,2,1250,1,0,52,9,0,0,0,0,0,0,1,0,1450000
40.85708,-73.9361,2,1,1000,1,0,217,15,0,0,0,0,0,0,1,0,749000
40.7494,-73.9699,2,1,1292.89797687861,1,0,403,25,0,1,0,1,0,0,1,0,325000
40.7689,-73.9842,1,1,1292.89797687861,1,0,608,14,0,0,0,1,0,0,1,0,759000
40.7492,-73.9715,1,1,1292.89797687861,1,0,459,32,0,0,0,1,0,0,1,0,520000
40.7715,-73.9541,3,1.5,1292.89797687861,1,0,60,6,0,0,0,1,0,0,1,0,1195000
40.74216,-73.9963,1,1,700,0,0,60,6,0,0,0,0,0,0,1,0,818000
40.7843,-73.9726,2,2,1292.89797687861,0,0,7,4,0,0,0,1,0,0,1,0,1650000
40.7718,-73.954,2,1,615,0,0,10,5,0,0,0,0,0,0,1,0,599000
40.7479,-73.9709,1,1,1292.89797687861,1,0,788,26,0,0,0,1,0,0,1,0,680000
40.7163,-74.0105,2,1,537,1,0,79,11,0,1,0,0,0,0,1,0,799000
40.7975,-73.9618,3,2,1292.89797687861,0,0,2,3,0,0,0,1,0,0,1,0,799000
40.77767,-73.9768,2,2,1292.89797687861,1,0,251,15,0,0,0,1,0,0,1,0,1795000
40.78257,-73.977,2,2,933,1,0,148,33,0,0,0,0,0,0,1,0,1995000
40.73017,-73.9819,2,2,1047,1,0,84,8,0,0,0,0,0,0,0,1,1725000
40.709,-74.0073,1,1.5,964,1,0,73,13,0,0,0,0,0,0,1,0,1095000
40.7602,-73.9956,1,1,765,1,0,311,41,0,0,0,0,0,0,1,0,970000
40.7636,-73.986,2,2,989,1,0,215,42,0,0,0,0,0,0,0,1,1595000
40.7249,-74.0087,2,2.5,1481,1,0,31,11,0,0,0,0,0,0,0,1,2995000
40.7871,-73.9745,5,4.5,4000,1,0,36,21,0,0,0,0,0,0,1,0,6900000
40.7769,-73.955,1,1,1292.89797687861,1,0,115,18,0,0,0,1,0,0,1,0,699000
40.7807,-73.9791,1,1,1292.89797687861,1,0,41,6,0,0,0,1,0,0,1,0,599000
40.76517,-73.9699,1,1,897,1,0,100,16,0,0,0,0,0,0,1,0,1450000
40.7281,-73.9996,2,1,1292.89797687861,1,0,144,9,0,1,0,1,0,0,1,0,739900
40.7524,-73.9658,4,5,3300,1,0,169,38,0,0,0,0,0,0,1,0,3695000
40.7312,-73.9927,1,1,1292.89797687861,1,0,214,6,0,0,0,1,0,0,1,0,950000
40.7914,-73.9735,2,1,1200,1,0,94,13,0,0,0,0,0,0,1,0,1575000
40.7085,-74.0164,2,1,766,1,0,545,46,0,0,0,0,0,0,1,0,1025000
40.7889,-73.9547,4,3,1292.89797687861,1,0,54,15,0,0,0,1,0,0,1,0,3750000
40.7129,-73.9789,3,1.5,1250,1,1,0,20,0,0,0,0,1,0,0,0,1200000
40.7318,-73.9928,2,1,1292.89797687861,1,0,173,14,0,1,0,1,0,0,1,0,575000
40.8073,-73.9667,2,1,1292.89797687861,1,0,76,13,0,0,0,1,0,0,1,0,1285000
40.7402,-73.9817,2,2,1292.89797687861,1,0,164,18,0,0,0,1,0,0,1,0,1599000
40.74769,-74.0037,1,1,850,1,0,702,19,0,0,0,0,0,0,1,0,1350000
40.8104,-73.9435,2,2,1275,1,0,77,12,0,0,0,0,0,0,0,1,1195000
40.7902,-73.9756,2,1,500,1,0,142,14,0,1,0,0,0,0,1,0,625000
40.7362,-73.9931,2,1,1292.89797687861,1,0,153,19,0,0,0,1,0,0,1,0,1475000
40.7546,-73.9691,1,1.5,900,1,0,172,32,0,0,0,0,0,0,1,0,1099000
40.7791,-73.9473,1,1,719,1,0,128,23,0,0,0,0,0,0,1,0,895000
40.7822,-73.9526,1,1,1292.89797687861,0,0,22,5,0,0,0,1,0,0,1,0,529000
40.7385,-74.0085,2,2,1573,1,0,84,11,0,0,0,0,0,0,1,0,3250000
40.7785,-73.956,2,2,1230,1,0,102,15,0,0,0,0,0,0,1,0,1800000
40.7956,-73.9497,1,1,750,1,0,201,14,0,0,0,0,0,0,1,0,699000
40.7724,-73.9575,2,1,1292.89797687861,1,0,39,5,0,1,0,1,0,0,1,0,375000
40.7777,-73.958,1,2,1292.89797687861,1,0,25,10,0,0,0,1,0,0,1,0,1600000
40.78253,-73.9795,1,1,860,1,0,38,10,0,0,0,0,0,0,1,0,699000
40.774,-73.9621,3,2.5,2000,1,0,18,13,0,0,0,0,0,0,1,0,3995000
40.7711,-73.9612,1,1,1292.89797687861,1,0,32,9,0,0,0,1,0,0,1,0,549000
40.7959,-73.9715,3,2,1471,1,0,56,15,0,0,0,0,0,0,1,0,1975000
40.7947,-73.9436,1,1,800,1,0,0,20,0,0,0,0,1,0,0,0,775000
40.7156,-74.0161,2,2,1427,1,0,243,31,0,0,0,0,0,0,0,1,2400000
40.7461,-73.9805,2,1,1292.89797687861,1,0,193,15,0,1,0,1,0,0,1,0,465000
40.7328,-73.9871,2,1,1292.89797687861,1,0,155,1,0,1,0,1,0,0,1,0,499000
40.78631,-73.9773,1,1,1292.89797687861,1,0,304,23,0,0,0,1,0,0,1,0,950000
40.7968,-73.9697,3,2,1292.89797687861,1,0,64,38,0,0,0,1,0,0,0,1,2295000
40.73,-73.9861,2,1,1292.89797687861,1,0,76,15,0,0,0,1,0,0,1,0,1650000
40.7486,-73.9797,1,1.5,859,1,0,106,21,0,0,0,0,0,0,0,1,1475000
40.7429,-73.9945,1,1.5,894,1,1,12,12,0,0,0,0,0,0,0,1,1700000
40.7876,-73.9719,3,2.5,1778,1,0,72,12,0,0,0,0,0,0,1,0,3495000
40.7487,-73.9705,2,1,1292.89797687861,1,0,439,23,0,1,0,1,0,0,1,0,345000
40.733,-74.0089,2,2,1292.89797687861,1,0,214,7,0,0,0,1,0,0,1,0,1800000
40.7373,-73.993,2,2,1095,1,0,50,21,0,0,0,0,0,0,1,0,2260000
40.757,-73.9664,1,1,1292.89797687861,1,0,360,34,0,0,0,1,0,0,1,0,929000
40.7758,-73.9497,1,1,1292.89797687861,1,0,192,20,0,0,0,1,0,0,1,0,649000
40.7299,-74.0073,1,2,832,1,1,155,20,0,0,0,0,1,0,1,0,1995000
40.7436,-73.9876,3,3,2023,1,0,187,13,0,0,0,0,0,0,1,0,4500000
40.7389,-73.9862,2,2,1292.89797687861,1,0,149,16,0,0,0,1,0,0,1,0,3750000
40.7855,-73.955,2,2,1400,1,0,210,32,0,0,0,0,0,0,1,0,1950000
40.754,-73.9652,1,1,1292.89797687861,1,0,110,13,0,0,0,1,0,0,1,0,340000
40.8683,-73.9229,1,1,850,1,0,61,6,0,0,0,0,0,0,1,0,379000
40.7486,-73.9721,2,1,900,1,0,200,10,0,0,0,0,0,0,1,0,885000
40.7426,-73.9758,4,3,2068,1,1,1120,21,0,0,0,0,0,0,1,0,2100000
40.7498,-73.9962,1,1,1292.89797687861,1,0,61,11,0,0,0,1,0,0,1,0,935000
40.73313,-74.0096,2,1,450,0,0,14,5,0,1,0,0,0,0,1,0,389000
40.7625,-73.9663,1,1,1050,1,0,165,20,0,0,0,0,0,0,1,0,899000
40.8235,-73.9424,2,2,947,1,0,180,10,0,0,0,0,0,0,0,1,870000
40.7684,-73.962,2,1,547,1,0,97,31,0,1,0,0,0,0,1,0,775000
40.8367,-73.9484,1,1,950,1,1,0,20,0,0,0,0,1,0,0,0,749000
40.7345,-73.9892,1,1,535,1,0,645,27,0,0,0,0,0,0,1,0,980000
40.7492,-73.9715,2,1,1292.89797687861,1,0,459,32,0,1,0,1,0,0,1,0,355000
40.7386,-74.0032,2,1,1292.89797687861,1,0,160,17,0,1,0,1,0,0,1,0,690000
40.7801,-73.9846,1,1,1292.89797687861,1,0,119,22,0,0,0,1,0,0,1,0,749000
40.754,-73.9652,2,2,1292.89797687861,1,0,110,13,0,0,0,1,0,0,1,0,649000
40.7377,-73.9819,2,1,530,1,1,339,17,0,1,0,0,0,0,1,0,500000
40.7747,-73.9576,1,1,1292.89797687861,1,0,59,15,0,0,0,1,0,0,1,0,695000
40.7801,-73.9822,2,1,450,1,0,385,17,0,1,0,0,0,0,1,0,649000
40.7774,-73.9499,1,1,1292.89797687861,1,0,90,22,0,0,0,1,0,0,1,0,725000
40.7518,-74.0028,3,3.5,2146,1,1,31,11,0,0,0,0,0,0,0,1,5750000
40.7347,-73.9837,2,1.5,1108,1,0,127,9,0,0,0,0,0,0,1,0,2195000
40.7671,-73.9892,2,2,980,1,0,29,7,0,0,0,0,0,0,1,0,1250000
40.7737,-73.9472,1,1,1292.89797687861,0,0,15,5,0,0,0,1,0,0,1,0,429000
40.7151,-73.9818,2,1,1292.89797687861,1,0,237,6,0,0,0,1,0,0,1,0,855000
40.7271,-73.9959,2,1.5,1400,1,0,243,14,0,0,0,0,0,0,1,0,1295000
40.77201,-73.9573,2,1,800,1,0,47,7,0,0,0,0,0,0,1,0,725000
40.7178,-73.9959,2,1,856,1,0,80,4,0,0,0,0,0,0,1,0,1200000
40.7898,-73.9677,2,2,1200,1,0,87,13,0,0,0,0,0,0,1,0,1100000
40.7402,-73.9927,3,2.5,2352,1,0,4,5,0,0,0,0,0,0,1,0,2300000
40.7351,-74.0087,2,1,950,0,0,0,5,0,0,0,0,1,0,0,0,1100000
40.71938,-74.0073,5,4.5,6226,1,0,13,65,0,0,0,0,0,0,1,0,18500000
40.72271,-74.0023,4,4,4270,1,0,4,6,0,0,0,0,0,0,0,1,13900000
40.7165,-74.0123,1,1,752,1,0,253,29,0,0,0,0,0,0,0,1,1475000
40.7246,-73.9812,1,1,1292.89797687861,1,0,30,6,0,0,0,1,0,0,1,0,715000
40.7743,-73.9519,2,1,610,1,0,148,18,0,1,0,0,0,0,1,0,738000
40.7492,-73.9715,2,1,1292.89797687861,1,0,459,32,0,1,0,1,0,0,1,0,405000
40.7492,-73.9715,2,1,1292.89797687861,1,0,459,32,0,1,0,1,0,0,1,0,430000
40.7712,-73.957,2,1,1292.89797687861,1,0,293,16,0,1,0,1,0,0,1,0,529000
40.7399,-73.9828,2,1,1292.89797687861,1,0,206,20,0,1,0,1,0,0,1,0,599000
40.7416,-73.9794,2,1,1292.89797687861,1,0,84,7,0,1,0,1,0,0,1,0,395000
40.7703,-73.9548,2,2,1300,1,0,369,19,0,0,0,0,0,0,1,0,1500000
40.7792,-73.9604,1,2,1060,1,0,54,12,0,0,0,0,0,0,1,0,795000
40.7433,-73.9827,2,2,1415,1,0,25,9,0,0,0,0,0,0,1,0,2275000
40.7628,-73.9687,3,2,1600,1,0,234,33,0,0,0,0,0,0,1,0,1895000
